code,abbr,name,listed
002736.sz,sz002736,国信证券,2014-12-29
300408.sz,sz300408,三环集团,2014-12-03
603019.ss,ss603019,中科曙光,2014-11-06
603369.ss,ss603369,今世缘,2014-07-03
603288.ss,ss603288,海天味业,2014-02-11
002714.sz,sz002714,牧原股份,2014-01-28
601225.ss,ss601225,陕西煤业,2014-01-28
000333.sz,sz000333,美的集团,2013-09-18
603993.ss,ss603993,洛阳钼业,2012-10-09
300347.sz,sz300347,泰格医药,2012-08-17
002673.sz,sz002673,西部证券,2012-05-03
601012.ss,ss601012,隆基股份,2012-04-11
601238.ss,ss601238,广汽集团,2012-03-29
601800.ss,ss601800,中国交建,2012-03-09
601231.ss,ss601231,环旭电子,2012-02-20
601360.ss,ss601360,三六零,2012-01-16
601336.ss,ss601336,新华保险,2011-12-16
601555.ss,ss601555,东吴证券,2011-12-12
002624.sz,sz002624,完美世界,2011-10-28
601100.ss,ss601100,恒立液压,2011-10-28
601669.ss,ss601669,中国电建,2011-10-18
601633.ss,ss601633,长城汽车,2011-09-28
002607.sz,sz002607,中公教育,2011-08-10
601901.ss,ss601901,方正证券,2011-08-10
002602.sz,sz002602,世纪华通,2011-07-28
002601.sz,sz002601,龙蟒佰利,2011-07-15
002594.sz,sz002594,比亚迪,2011-06-30
002555.sz,sz002555,三七互娱,2011-03-02
002558.sz,sz002558,巨人网络,2011-03-02
601992.ss,ss601992,金隅集团,2011-03-01
601216.ss,ss601216,君正集团,2011-02-22
601933.ss,ss601933,永辉超市,2010-12-15
300144.sz,sz300144,宋城演艺,2010-12-09
002508.sz,sz002508,老板电器,2010-11-23
300142.sz,sz300142,沃森生物,2010-11-12
300136.sz,sz300136,信维通信,2010-11-05
002493.sz,sz002493,荣盛石化,2010-11-02
600998.ss,ss600998,九州通,2010-11-02
601377.ss,ss601377,兴业证券,2010-10-13
300122.sz,sz300122,智飞生物,2010-09-28
300124.sz,sz300124,汇川技术,2010-09-28
601018.ss,ss601018,宁波港,2010-09-28
002475.sz,sz002475,立讯精密,2010-09-15
002468.sz,sz002468,申通快递,2010-09-08
002466.sz,sz002466,天齐锂业,2010-08-31
002463.sz,sz002463,沪电股份,2010-08-18
601818.ss,ss601818,光大银行,2010-08-18
002460.sz,sz002460,赣锋锂业,2010-08-10
002456.sz,sz002456,欧菲光,2010-08-03
601288.ss,ss601288,农业银行,2010-07-15
002422.sz,sz002422,科伦药业,2010-06-03
002415.sz,sz002415,海康威视,2010-05-28
002410.sz,sz002410,广联达,2010-05-25
300059.sz,sz300059,东方财富,2010-03-19
002371.sz,sz002371,北方华创,2010-03-16
601688.ss,ss601688,华泰证券,2010-02-26
002352.sz,sz002352,顺丰控股,2010-02-05
601877.ss,ss601877,正泰电器,2010-01-21
601117.ss,ss601117,中国化学,2010-01-07
300033.sz,sz300033,同花顺,2009-12-25
601989.ss,ss601989,中国重工,2009-12-16
002311.sz,sz002311,海大集团,2009-11-27
600999.ss,ss600999,招商证券,2009-11-17
002304.sz,sz002304,洋河股份,2009-11-06
300003.sz,sz300003,乐普医疗,2009-10-30
300014.sz,sz300014,亿纬锂能,2009-10-30
300015.sz,sz300015,爱尔眼科,2009-10-30
601888.ss,ss601888,中国中免,2009-10-15
601618.ss,ss601618,中国中冶,2009-09-21
601788.ss,ss601788,光大证券,2009-08-18
601668.ss,ss601668,中国建筑,2009-07-29
601727.ss,ss601727,上海电气,2008-12-05
002271.sz,sz002271,东方雨虹,2008-09-10
601766.ss,ss601766,中国中车,2008-08-18
002252.sz,sz002252,上海莱士,2008-06-23
002241.sz,sz002241,歌尔股份,2008-05-22
002236.sz,sz002236,大华股份,2008-05-20
002230.sz,sz002230,科大讯飞,2008-05-12
