,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
1,20150105,3641.541,3566.089,3669.042,3551.51,3533.705,107.836,3.0516,451198098,519849817.4
2,20150106,3641.059,3608.428,3683.226,3587.231,3641.541,-0.482,-0.0132,420962185,498529588.3
3,20150107,3643.79,3620.924,3671.19,3601.698,3641.059,2.731,0.075,320191232,398731720.5
4,20150108,3559.259,3650.073,3659.945,3552.1,3643.79,-84.531,-2.3199,295003045,355831967.3
5,20150109,3546.723,3547.574,3689.753,3536.395,3559.259,-12.536,-0.3522,349982672,430210592.3
6,20150112,3513.576,3531.515,3560.527,3461.322,3546.723,-33.147,-0.9346,266567175,334257133.1
7,20150113,3514.04,3506.451,3550.158,3494.768,3513.576,0.464,0.0132,187153965,250796676.1
8,20150114,3502.423,3522.907,3547.242,3471.56,3514.04,-11.617,-0.3306,196012510,241285837.5
9,20150115,3604.121,3501.719,3604.121,3482.27,3502.423,101.698,2.9036,237812338,303445351.1
10,20150116,3635.146,3616.248,3662.158,3601.258,3604.121,31.025,0.8608,282681614,355568710.7
11,20150119,3355.155,3414.013,3497.252,3330.981,3635.146,-279.991,-7.7023,329505275,366017532.1
12,20150120,3396.222,3336.793,3419.204,3325.681,3355.155,41.067,1.224,297843232,381917903.8
13,20150121,3548.885,3420.491,3557.794,3409.43,3396.222,152.663,4.4951,337928210,425433704.3
14,20150122,3567.613,3551.052,3576.756,3520.053,3548.885,18.728,0.5277,268853599,345026041
15,20150123,3571.732,3582.088,3627.806,3548.626,3567.613,4.119,0.1155,280172172,361835546.4
16,20150126,3607.985,3580.118,3611.617,3559.376,3571.732,36.253,1.015,239766203,309585710.1
17,20150127,3574.931,3614.038,3616.258,3510.017,3607.985,-33.054,-0.9161,287669179,357548249.6
18,20150128,3525.323,3547.239,3583.312,3512.393,3574.931,-49.608,-1.3877,216220214,278749164.9
19,20150129,3481.798,3474.915,3505.582,3453.901,3525.323,-43.525,-1.2346,211618860,251897926.4
20,20150130,3434.39,3496.885,3514.217,3431.936,3481.798,-47.408,-1.3616,196479157,237420793.9
21,20150202,3353.96,3360.193,3407.256,3347.085,3434.39,-80.43,-2.3419,195183699,224837769.9
22,20150203,3437.445,3388.602,3441.709,3360.717,3353.96,83.485,2.4891,192846096,241100023.2
23,20150204,3401.768,3446.144,3476.817,3399.565,3437.445,-35.677,-1.0379,191304349,244034297.2
24,20150205,3366.946,3487.951,3487.951,3366.862,3401.768,-34.822,-1.0236,250430609,311523669.2
