"","Code","Yield","High"
"169","ss600299",0.0649689992350764,0.0649689992350764
"117","sz002024",0.057261958637052,0.057261958637052
"44","sz002468",0.0506823156423242,0.0506823156423242
"193","ss600118",0.0429796446436339,0.045178154743658
"190","ss600115",0.0397127657278664,0.0397127657278664
"198","ss600085",0.0375475472826381,0.0375475472826381
"27","sz002594",0.0367179869818401,0.0367179869818401
"205","ss600061",0.0325844260471047,0.03549418760517
"183","ss600188",0.0283907356866717,0.0283907356866717
"133","ss600029",0.0275386107960207,0.0275386107960207
"216","sz000627",0.0258951311254156,0.0258951311254156
"97","ss601328",0.0239850374384136,0.0239850374384136
"172","ss600219",0.0179810641983955,0.0179810641983955
"224","ss600893",0.0168842924351531,0.0280590747406215
"16","ss601360",0.0154534405681532,0.0157333978216534
"237","ss600637",0.0131883463463345,0.0160254189360274
"123","sz000100",0.0128676952617752,0.0210865385007299
"55","sz002371",0.0126641051547063,0.0167545754303242
"186","sz000876",0.0107868646090992,0.0129031787427474
"239","ss600606",0.0107542149901525,0.0186748306104929
"132","ss600352",0.0099348979786118,0.0113447048338722
"170","sz000961",0.00961366798172181,0.00966440712067507
"60","sz300033",0.00941817658577704,0.0162119340871496
"59","ss601117",0.00903117838821776,0.00903117838821776
"206","sz000723",0.00863093069216458,0.00999485263066746
"208","sz000709",0.00766156786009753,0.0121223979277221
"201","sz000776",0.00722753488064476,0.00722753488064476
"74","ss601766",0.00712011221295583,0.0197591630802676
"217","ss600760",0.00696079023037632,0.00901716827445753
"72","ss601727",0.0067597785232425,0.00884301767393936
"156","ss600390",0.00635450356868117,0.00765573323467028
"128","ss600015",0.00570900092627324,0.00570900092627324
"13","ss601238",0.00566157329187189,0.00664111902383713
"214","sz000656",0.00565080688315911,0.00600032325166722
"111","ss601988",0.00562713378537372,0.00562713378537372
"23","sz002607",0.0055250366290398,0.00559909230799871
"102","sz002120",0.00518747035533917,0.00519397521659104
"70","ss601788",0.00489137489015623,0.00508116523766322
"113","sz002044",0.00475069675072248,0.00587791877205057
"146","ss600011",0.00474110275002726,0.0057842194899056
"10","sz300347",0.00466601020944513,0.00753059952200164
"67","sz300015",0.00464445267235392,0.00781994773283667
"134","ss600271",0.00434722973706325,0.00434722973706325
"109","ss601006",0.00401269738179,0.00401269738179
"20","ss601100",0.00366972061892623,0.00504079509844324
"29","sz002558",0.00363455348346786,0.00432404144753717
"6","sz002714",0.00336616293155645,0.00967073720287837
"238","ss600655",0.0033155735160979,0.00356675286744434
"181","ss600183",0.00317372954846173,0.00523274892095915
"129","ss600547",0.00314301977530462,0.00455641108651572
"61","ss601989",0.00280793754251207,0.00381080503269637
"43","sz002475",0.00272552238206436,0.00740604732688843
"82","sz002202",0.00264657708472948,0.00334465456434008
"108","ss601111",0.00262931075770978,0.0044293533777815
"30","ss601992",0.00247557876311766,0.00528345309079392
"189","sz000063",0.00229926683681358,0.00647283066566984
"164","ss600297",0.00227587278846086,0.00658349925831425
"185","sz000858",0.00215949480380129,0.00258422378927392
"9","ss603993",0.00213740392326822,0.00245951225074603
"98","sz000338",0.00194589176392035,0.00379671073283161
"11","sz002673",0.00185233004848073,0.00200972939848243
"7","ss601225",0.00175406342648698,0.00391808465635202
"96","ss601919",0.00169819695841444,0.00518225047350884
"158","ss600369",0.00150959395397243,0.00552319168371995
"184","ss600170",0.0013848105463341,0.00210516508341829
"34","sz002508",0.00128485110621623,0.0014514660110776
"19","sz002624",0.00126681345179236,0.00179400192523027
"99","ss601600",0.00121787479421576,0.00284220713936412
"37","sz002493",0.00115813551737065,0.00294994197781229
"76","sz002241",0.00115092568794561,0.00253419103929664
"105","ss601628",0.000916575539515074,0.000916575539515074
"51","sz002422",0.000891231231609835,0.00262976773871793
"50","ss601288",0.000763468137899181,0.00112469750423672
"100","ss601998",0.000759959059769555,0.00381391554274746
"209","sz000703",0.000700824102398467,0.000700824102398467
"171","sz000963",0.000694848039372475,0.00502635255205486
"177","ss600176",0.000672542171867185,0.0028870322427299
"89","ss601939",0.000642359819164939,0.000840865423906711
"191","ss600111",0.000581197614959894,0.00150557014152275
"42","ss601018",0.000578183446650948,0.000932719877234423
"114","ss600027",0.000556045692082563,0.00219581834437088
"75","sz002252",0.000547368713111895,0.00684194761499768
"142","ss600036",0.000514973212783598,0.00133480431475985
"48","sz002460",0.000507204651670978,0.00429597236579737
"3","ss603019",0.000499680523923018,0.000545917870690138
