"","Code","Yield","High"
"186","sz000876",0.620152932296651,0.620152932296651
"20","ss601100",0.445282805375342,0.445282805375342
"212","sz000661",0.421127505857108,0.421127505857108
"6","sz002714",0.361762820114536,0.361762820114536
"82","sz002202",0.0784798483779616,0.0784798483779616
"44","sz002468",0.0296675263839896,0.0301906158799126
"10","sz300347",0.0205435942828802,0.0205435942828802
"94","sz002142",0.0198471471711308,0.0198471471711308
"181","ss600183",0.01978768671966,0.01978768671966
"187","ss600009",0.0183827394350735,0.0183827394350735
"42","ss601018",0.0172138257156071,0.0295733731438288
"67","sz300015",0.0151372186231724,0.0151372186231724
"23","sz002607",0.0150675160819553,0.0150675160819553
"40","sz300122",0.0140693507982108,0.0140693507982108
"147","ss600519",0.0137519560538353,0.0137519560538353
"35","sz300142",0.013130583882321,0.013130583882321
"185","sz000858",0.013110656489645,0.013110656489645
"142","ss600036",0.0130037896338528,0.0130037896338528
"136","ss600436",0.0122210776036897,0.0122210776036897
"169","ss600299",0.0122152968650198,0.0172062139843121
"43","sz002475",0.0121114152601196,0.0121114152601196
"123","sz000100",0.0112237428851047,0.0112237428851047
"232","ss600809",0.0110184566574008,0.0110184566574008
"125","ss600570",0.0108698860006027,0.0162579049862133
"115","sz002032",0.0104921070688444,0.0104921070688444
"144","ss600583",0.0101871482466687,0.0110352354719616
"68","ss601888",0.00847825036123684,0.00847825036123684
"96","ss601919",0.00844332624432376,0.0103666119103423
"222","ss600703",0.00831571576832912,0.00831571576832912
"74","ss601766",0.00785793383388333,0.00785793383388333
"5","ss603288",0.00723071168951117,0.00723071168951117
"168","ss600233",0.00659576353620794,0.00758302906443209
"153","ss600383",0.00637077645238748,0.00730213011314951
"113","sz002044",0.00595778193823215,0.00595778193823215
"83","ss601601",0.00594006739731268,0.00594006739731268
"88","ss601808",0.00565878607320114,0.0102226005482025
"118","ss600482",0.00535790073264364,0.0088335001136215
"116","sz002027",0.00442102596175964,0.00442102596175964
"143","ss600585",0.00429625617167217,0.00429625617167217
"134","ss600271",0.0041588969407047,0.00438556460537343
"209","sz000703",0.00398720690063836,0.00398720690063836
"62","sz002311",0.00390284158777043,0.00390284158777043
"49","sz002456",0.00368160225453029,0.00368160225453029
"158","ss600369",0.00363994130216372,0.00668690471666822
"226","ss600886",0.0036382236670347,0.0036382236670347
"8","sz000333",0.00356561100557395,0.00381513211671436
"200","sz000728",0.00330257495146635,0.00677150581331643
"133","ss600029",0.00312140400242678,0.00629045966911868
"46","sz002463",0.00300110294806344,0.0109178039269768
"173","ss600221",0.00292790335534132,0.00418698204545676
"2","sz300408",0.00283179280278878,0.00301516650234301
"165","ss600276",0.00277976924247292,0.00277976924247292
"47","ss601818",0.00272038373153705,0.00272038373153705
"14","ss601800",0.0025185945716355,0.00688480275996683
"19","sz002624",0.00243198725681282,0.00764580197884146
"190","ss600115",0.00221000344408306,0.00537824193821956
"18","ss601555",0.00209048422559688,0.0021636918665553
"16","ss601360",0.00178924745997522,0.0029034924352882
"1","sz002736",0.00178726944410479,0.00541607126806776
"120","sz002007",0.0017745450189417,0.0017745450189417
"213","sz000671",0.00172456850376368,0.00343902175869171
"235","ss600674",0.00171094547473039,0.00212321293454165
"172","ss600219",0.00169957594342041,0.00306410453804973
"195","sz000783",0.00168074728743517,0.00290495616483533
"15","ss601231",0.00156846681581513,0.00264867538912439
"57","sz002352",0.00153417000020184,0.00188859617295623
"36","sz300136",0.00152883808317417,0.00252214469589629
"221","ss600741",0.00143636194026642,0.00288193365763578
"179","ss600177",0.00141255384295946,0.00283439436854116
"117","sz002024",0.0014030590967582,0.0014030590967582
"138","ss600030",0.00136104498925715,0.00266900842822881
"199","ss600089",0.00128077536107973,0.00507459883314043
"81","ss601898",0.00124881209245542,0.00394402663121229
"230","ss601607",0.00117414542426264,0.00540826437021247
"63","ss600999",0.00113205558670493,0.00226492732635641
"110","ss600048",0.00111366408424463,0.00111366408424463
"121","sz002008",0.00109142813484975,0.00189689926136283
"51","sz002422",0.00107559013116032,0.00172743524570995
"105","ss601628",0.00096250743698767,0.00102270658066161
"78","sz002230",0.00088514482334312,0.00155631631381281
