"","Code","Yield","High"
"13","ss601238",0.221754329686076,0.221754329686076
"115","sz002032",0.0209654432780371,0.0209654432780371
"40","sz300122",0.0157336046301031,0.0157336046301031
"136","ss600436",0.0151063709771679,0.0151063709771679
"147","ss600519",0.0147268338898556,0.0147268338898556
"164","ss600297",0.0146201194966789,0.0208636790383567
"86","sz002179",0.0141940731074521,0.0141940731074521
"68","ss601888",0.0139970818233841,0.0139970818233841
"5","ss603288",0.0139911949314568,0.0139911949314568
"125","ss600570",0.0133403103167813,0.0168171762639777
"165","ss600276",0.0128683604946171,0.0128683604946171
"63","ss600999",0.0102961117482423,0.0102961117482423
"28","sz002555",0.00991062138060883,0.00996032523662849
"67","sz300015",0.00927054660930193,0.00927054660930193
"171","sz000963",0.00877462938933982,0.00877462938933982
"231","ss600837",0.00873525950239507,0.00873525950239507
"96","ss601919",0.00869721981086591,0.0124916823471339
"1","sz002736",0.008121285127489,0.00815862793106237
"152","ss600588",0.00726632445324538,0.00726632445324538
"154","ss600010",0.00642094567783369,0.0118261185033679
"15","ss601231",0.00633563538879711,0.015250917211763
"208","sz000709",0.00622377794228401,0.00622377794228401
"197","sz000768",0.0057714220437004,0.00894929311639037
"80","ss601186",0.00571822155378499,0.0141667923962554
"79","ss601899",0.00560047263559404,0.010619207539613
"24","ss601901",0.0054986442700502,0.00691102097873486
"84","ss601390",0.0054552476669345,0.00671406895944182
"74","ss601766",0.00536894650607911,0.00536894650607911
"14","ss601800",0.00536617129136441,0.00716634757895962
"36","sz300136",0.00509086852340457,0.00858102708692887
"200","sz000728",0.00484438567630874,0.00541819156757528
"44","sz002468",0.00479230992757018,0.00707774890881874
"237","ss600637",0.00456025119349501,0.00456424939965627
"193","ss600118",0.00420971675156223,0.00529795854104953
"204","ss600068",0.00412366293678401,0.0056629575373488
"137","ss600004",0.00411439848051964,0.00811384069081567
"110","ss600048",0.00407434182507571,0.00407434182507571
"239","ss600606",0.00404380550740147,0.00625074646041801
"195","sz000783",0.00395683893133181,0.00450400646261029
"81","ss601898",0.00371613699255535,0.00426577451930155
"33","sz300144",0.00365806154269843,0.00365806154269843
"184","ss600170",0.00358078219776514,0.00409128055858909
"69","ss601618",0.00349975357799392,0.00395881323834812
"128","ss600015",0.00347104883529736,0.00432710736443975
"158","ss600369",0.003427962443044,0.00464931472051733
"168","ss600233",0.00338959346319601,0.00603650843206549
"54","sz300059",0.0033890770157865,0.0033890770157865
"226","ss600886",0.00334747500306753,0.00334747500306753
"117","sz002024",0.00334513904095712,0.00334513904095712
"42","ss601018",0.00316916242941057,0.00320612481635951
"92","sz002153",0.00309267897477938,0.00564819565858121
"12","ss601012",0.00300383518037584,0.00509084772328228
"156","ss600390",0.00291926090855577,0.00291926090855577
"4","ss603369",0.0029026601346358,0.00727325879595164
"133","ss600029",0.00272234560152085,0.00368144832554762
"70","ss601788",0.00266407071625974,0.00517948345788422
"18","ss601555",0.00264692894500373,0.00264692894500373
"135","ss600031",0.00264524930646681,0.00280249688458634
"196","sz000066",0.00259794340686326,0.00259794340686326
"214","sz000656",0.00255212282882611,0.00346422543341363
"73","sz002271",0.00248143293438252,0.00584602340789186
"99","ss601600",0.00239198988130385,0.00239198988130385
"121","sz002008",0.00232345769560816,0.00601309319686916
"123","sz000100",0.00220855820469446,0.00261622005637974
"141","ss600516",0.0021819494498807,0.0021819494498807
"78","sz002230",0.00217163371135976,0.00433187224303078
"162","ss600038",0.00210414153424021,0.00218596029553675
"142","ss600036",0.00207354383802238,0.00207354383802238
"163","ss600019",0.00190757438676825,0.00297278647240051
"213","sz000671",0.00182709704184791,0.00318509290152047
"173","ss600221",0.00176020286372336,0.00446297988662714
"88","ss601808",0.00174574420783835,0.00209465857088542
"122","ss600438",0.0017382273610731,0.0017382273610731
"170","sz000961",0.00173658421126088,0.00482897510651736
"201","sz000776",0.00162493086130344,0.00184883629958454
"186","sz000876",0.00158749206030118,0.00205792510163749
"124","ss600340",0.00157934654345238,0.00157934654345238
"177","ss600176",0.00153546204294375,0.00632440385576838
"101","sz002129",0.00153343308348108,0.00605389138201451
"181","ss600183",0.00152946645189189,0.00492766792746591
"240","sz000001",0.00151761295542019,0.00291423174891792
"216","sz000627",0.00143966033490606,0.00143966033490606
"148","ss600498",0.00143513601935319,0.00211579971509668
"30","ss601992",0.00140639246035623,0.00140639246035623
"112","sz002050",0.00139624969226215,0.00234259565299033
"194","ss600109",0.00139076283505535,0.00139076283505535
"2","sz300408",0.00131939637486433,0.00159602931248015
"57","sz002352",0.0013174181109501,0.0013174181109501
"140","ss600050",0.00128257286689415,0.00241606464920752
"17","ss601336",0.00127774266215774,0.00282456101613593
"192","sz000069",0.00127605236303219,0.00173768055051826
"114","ss600027",0.00126303562921448,0.00162969970948335
"31","ss601216",0.00121459060066353,0.00130329253746386
"145","ss600362",0.00117269074330717,0.00215670667628065
"238","ss600655",0.00114795634440967,0.00401864570410182
"43","sz002475",0.00111273971319403,0.00238570387998127
"11","sz002673",0.0011030072008702,0.0011030072008702
"203","sz000786",0.00106322550150306,0.00106322550150306
"113","sz002044",0.000993747667814793,0.000993747667814793
"209","sz000703",0.000912286371285598,0.000912286371285598
"172","ss600219",0.000857280916888969,0.00130108905876725
"211","ss600795",0.000856239970030481,0.00151492151313937
"138","ss600030",0.000834470956059263,0.0013035634234182
"150","ss600028",0.000769003483029662,0.00241496681154785
"56","ss601688",0.000732813592018822,0.00100778970901794
"151","ss600372",0.000702167642734342,0.00233792590979043
"129","ss600547",0.000647552228759229,0.000676053955289468
"190","ss600115",0.000645828026418327,0.000700374513818103
